exp,test,prob_num,key,standard,regents_ymn
1,A1,1,2,A-CED.A,14.8.13
1,A1,2,1,A-REI.B,14.8.20
1,A1,3,3,A-CED.A,14.8.09
1,A1,4,4,A-REI.D,14.8.05
1,A1,5,1,A-REI.D,14.8.07
1,A1,6,2,A-APR.A,14.8.06
1,A1,7,1,A-SSE.A,14.8.15
1,A1,8,2,A-SSE.A,15.6.17
1,A1,9,3,A-REI.B,14.8.03
1,A1,10,4,A-CED.A,14.8.19
1,A2,1,3,A-SSE.B,14.6.12
1,A2,2,1,A-CED.A,14.6.23
1,A2,3,2,A-REI.C,14.6.14
1,A2,4,1,A-REI.B,14.6.05
1,A2,5,2,A-CED.A,14.6.16
1,A2,6,4,A-CED.A,14.6.22
1,A2,7,2,A-REI.B,14.6.08
1,A2,8,1,A-REI.A,14.6.01
1,A2,9,2,A-REI.B,14.6.10
1,A2,10,2,A-REI.D,14.6.04
1,A3,1,1,A-REI.D,15.6.05
1,A3,2,3,A-REI.C,15.6.06
1,A3,3,2,A-SSE.A,15.6.03
1,A3,4,2,A-APR.B,15.6.12
1,A3,5,4,A-REI.B,15.6.18
1,A3,6,4,A-CED.A,15.6.24
1,A3,7,1,A-REI.A,15.6.21
1,A3,8,2,A-CED.A,15.6.19
1,A3,9,1,A-REI.B,15.6.23
1,A3,10,4,A-SSE.B,15.6.10
1,A4,1,4,A-REI.B,15.1.17
1,A4,2,1,A-SSE.B,15.8.20
1,A4,3,2,A-REI.D,15.8.17
1,A4,4,1,A-APR.B,15.1.24
1,A4,5,1,A-REI.B,15.1.07
1,A4,6,2,A-SSE.A,15.1.01
1,A4,7,4,A-CED.A,15.1.23
1,A4,8,3,A-REI.D,15.1.18
1,A4,9,3,A-CED.A,15.1.13
1,A4,10,4,A-SSE.B,15.1.19
1,F1,1,4,F-IF.A,14.8.24
1,F1,2,1,F-IF.A,14.8.11
1,F1,3,2,F-IF.C,14.8.22
1,F1,4,3,F-LE.A,14.8.12
1,F1,5,1,F-BF.B,14.8.17
1,F1,6,2,F-LE.B,14.8.02
1,F1,7,3,F-LE.A,14.8.10
1,F1,8,2,F-IF.B,14.8.23
1,F1,9,4,F-IF.B,14.8.14
1,F1,10,1,F-IF.C,14.8.08
1,F2,1,4,F-IF.B,14.6.02
1,F2,2,1,F-IF.A,14.6.20
1,F2,3,3,F-LE.B,14.6.07
1,F2,4,3,F-IF.A,15.8.12
1,F2,5,4,F-IF.A,14.6.21
1,F2,6,3,F-IF.B,14.6.09
1,F2,7,4,F-LE.A,14.6.06
1,F2,8,3,F-LE.A,14.6.15
1,F2,9,2,F-LE.A,14.6.24
1,F2,10,1,F-IF.B,14.6.18
1,F3,1,3,F-IF.A,15.6.04
1,F3,2,4,F-IF.A,15.6.09
1,F3,3,3,F-LE.B,15.6.01
1,F3,4,3,F-BF.A,15.6.22
1,F3,5,4,F-IF.C,15.8.21
1,F3,6,1,F-IF.C,15.6.07
1,F3,7,2,F-LE.A,15.6.13
1,F3,8,3,F-IF.C,15.6.14
