exp,group,type,subject,session,item,standard,response,key,accuracy,con
1,MS,Paper,270,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,371,1,14.8.13,A-CED.A,2,2,1,4
1,MS,Paper,201,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,340,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,328,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,301,1,14.8.13,A-CED.A,3,2,0,1
1,MS,Paper,131,1,14.8.13,A-CED.A,3,2,0,5
1,MS,Paper,023,1,14.8.13,A-CED.A,3,2,0,5
1,MS,Paper,129,1,14.8.13,A-CED.A,3,2,0,3
1,MS,Paper,374,1,14.8.13,A-CED.A,3,2,0,5
1,MS,Paper,243,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,310,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,062,1,14.8.13,A-CED.A,3,2,0,0
1,MS,Paper,028,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,417,1,14.8.13,A-CED.A,2,2,1,2
1,MS,Paper,390,1,14.8.13,A-CED.A,2,2,1,0
1,MS,Paper,434,1,14.8.13,A-CED.A,3,2,0,3
1,MS,Paper,187,1,14.8.13,A-CED.A,3,2,0,4
1,MS,Paper,372,1,14.8.13,A-CED.A,2,2,1,2
1,MS,Paper,045,1,14.8.13,A-CED.A,3,2,0,1
1,MS,Paper,056,1,14.8.13,A-CED.A,3,2,0,0
1,MS,Paper,051,1,14.8.13,A-CED.A,4,2,0,1
1,MS,Paper,171,1,14.8.13,A-CED.A,2,2,1,4
1,MS,Paper,012,1,14.8.13,A-CED.A,3,2,0,4
1,MS,Paper,007,1,14.8.13,A-CED.A,4,2,0,4
1,MS,Paper,431,1,14.8.13,A-CED.A,2,2,1,3
1,MS,Paper,169,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,156,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,210,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,305,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,313,1,14.8.13,A-CED.A,1,2,0,5
1,MS,Paper,222,1,14.8.13,A-CED.A,3,2,0,4
1,MS,Paper,214,1,14.8.13,A-CED.A,1,2,0,2
1,MS,Paper,360,1,14.8.13,A-CED.A,2,2,1,2
1,MS,Paper,245,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,436,1,14.8.13,A-CED.A,2,2,1,4
1,MS,Paper,296,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,054,1,14.8.13,A-CED.A,3,2,0,4
1,MS,Paper,414,1,14.8.13,A-CED.A,3,2,0,5
1,MS,Paper,240,1,14.8.13,A-CED.A,2,2,1,5
1,MS,Paper,270,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,371,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,201,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,340,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,328,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,301,1,14.8.20,A-REI.B,1,1,1,3
1,MS,Paper,131,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,023,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,129,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,374,1,14.8.20,A-REI.B,1,1,1,4
1,MS,Paper,243,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,310,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,062,1,14.8.20,A-REI.B,1,1,1,4
1,MS,Paper,028,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,417,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,390,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,434,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,187,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,372,1,14.8.20,A-REI.B,1,1,1,4
1,MS,Paper,045,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,056,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,051,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,171,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,012,1,14.8.20,A-REI.B,1,1,1,4
1,MS,Paper,007,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,431,1,14.8.20,A-REI.B,1,1,1,3
1,MS,Paper,169,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,156,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,210,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,305,1,14.8.20,A-REI.B,2,1,0,5
1,MS,Paper,313,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,222,1,14.8.20,A-REI.B,2,1,0,5
1,MS,Paper,214,1,14.8.20,A-REI.B,3,1,0,5
1,MS,Paper,360,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,245,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,436,1,14.8.20,A-REI.B,2,1,0,5
1,MS,Paper,296,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,054,1,14.8.20,A-REI.B,2,1,0,0
1,MS,Paper,414,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,240,1,14.8.20,A-REI.B,1,1,1,5
1,MS,Paper,270,1,14.8.09,A-CED.A,4,3,0,0
1,MS,Paper,371,1,14.8.09,A-CED.A,4,3,0,1
1,MS,Paper,201,1,14.8.09,A-CED.A,3,3,1,5
1,MS,Paper,340,1,14.8.09,A-CED.A,2,3,0,2
1,MS,Paper,328,1,14.8.09,A-CED.A,3,3,1,2
1,MS,Paper,301,1,14.8.09,A-CED.A,4,3,0,0
1,MS,Paper,131,1,14.8.09,A-CED.A,3,3,1,4
1,MS,Paper,023,1,14.8.09,A-CED.A,3,3,1,4
1,MS,Paper,129,1,14.8.09,A-CED.A,3,3,1,1
1,MS,Paper,374,1,14.8.09,A-CED.A,4,3,0,1
1,MS,Paper,243,1,14.8.09,A-CED.A,3,3,1,2
1,MS,Paper,310,1,14.8.09,A-CED.A,1,3,0,5
1,MS,Paper,062,1,14.8.09,A-CED.A,4,3,0,0
1,MS,Paper,028,1,14.8.09,A-CED.A,3,3,1,1
1,MS,Paper,417,1,14.8.09,A-CED.A,4,3,0,3
1,MS,Paper,390,1,14.8.09,A-CED.A,2,3,0,4
1,MS,Paper,434,1,14.8.09,A-CED.A,1,3,0,2
1,MS,Paper,187,1,14.8.09,A-CED.A,1,3,0,4
1,MS,Paper,372,1,14.8.09,A-CED.A,1,3,0,1
1,MS,Paper,045,1,14.8.09,A-CED.A,1,3,0,3
1,MS,Paper,056,1,14.8.09,A-CED.A,4,3,0,0
1,MS,Paper,051,1,14.8.09,A-CED.A,3,3,1,3
1,MS,Paper,171,1,14.8.09,A-CED.A,4,3,0,3
1,MS,Paper,012,1,14.8.09,A-CED.A,2,3,0,4
1,MS,Paper,007,1,14.8.09,A-CED.A,3,3,1,3
1,MS,Paper,431,1,14.8.09,A-CED.A,4,3,0,4
1,MS,Paper,169,1,14.8.09,A-CED.A,3,3,1,0
1,MS,Paper,156,1,14.8.09,A-CED.A,1,3,0,5
1,MS,Paper,210,1,14.8.09,A-CED.A,2,3,0,0
1,MS,Paper,305,1,14.8.09,A-CED.A,4,3,0,2
1,MS,Paper,313,1,14.8.09,A-CED.A,3,3,1,1
1,MS,Paper,222,1,14.8.09,A-CED.A,1,3,0,1
1,MS,Paper,214,1,14.8.09,A-CED.A,2,3,0,1
1,MS,Paper,360,1,14.8.09,A-CED.A,4,3,0,3
1,MS,Paper,245,1,14.8.09,A-CED.A,3,3,1,0
1,MS,Paper,436,1,14.8.09,A-CED.A,1,3,0,0
1,MS,Paper,296,1,14.8.09,A-CED.A,4,3,0,3
1,MS,Paper,054,1,14.8.09,A-CED.A,4,3,0,3
1,MS,Paper,414,1,14.8.09,A-CED.A,3,3,1,5
1,MS,Paper,240,1,14.8.09,A-CED.A,2,3,0,0
1,MS,Paper,270,1,14.8.05,A-REI.D,4,4,1,3
1,MS,Paper,371,1,14.8.05,A-REI.D,4,4,1,3
1,MS,Paper,201,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,340,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,328,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,301,1,14.8.05,A-REI.D,1,4,0,4
1,MS,Paper,131,1,14.8.05,A-REI.D,2,4,0,4
1,MS,Paper,023,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,129,1,14.8.05,A-REI.D,4,4,1,4
1,MS,Paper,374,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,243,1,14.8.05,A-REI.D,4,4,1,4
1,MS,Paper,310,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,062,1,14.8.05,A-REI.D,4,4,1,4
1,MS,Paper,028,1,14.8.05,A-REI.D,4,4,1,4
1,MS,Paper,417,1,14.8.05,A-REI.D,4,4,1,4
1,MS,Paper,390,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,434,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,187,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,372,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,045,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,056,1,14.8.05,A-REI.D,1,4,0,4
1,MS,Paper,051,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,171,1,14.8.05,A-REI.D,4,4,1,3
1,MS,Paper,012,1,14.8.05,A-REI.D,2,4,0,4
1,MS,Paper,007,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,431,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,169,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,156,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,210,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,305,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,313,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,222,1,14.8.05,A-REI.D,1,4,0,5
1,MS,Paper,214,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,360,1,14.8.05,A-REI.D,3,4,0,2
1,MS,Paper,245,1,14.8.05,A-REI.D,1,4,0,5
1,MS,Paper,436,1,14.8.05,A-REI.D,1,4,0,2
1,MS,Paper,296,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,054,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,414,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,240,1,14.8.05,A-REI.D,4,4,1,5
1,MS,Paper,270,1,14.8.07,A-REI.D,2,1,0,5
1,MS,Paper,371,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,201,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,340,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,328,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,301,1,14.8.07,A-REI.D,3,1,0,5
1,MS,Paper,131,1,14.8.07,A-REI.D,1,1,1,4
1,MS,Paper,023,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,129,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,374,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,243,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,310,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,062,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,028,1,14.8.07,A-REI.D,1,1,1,3
1,MS,Paper,417,1,14.8.07,A-REI.D,2,1,0,2
1,MS,Paper,390,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,434,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,187,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,372,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,045,1,14.8.07,A-REI.D,3,1,0,5
1,MS,Paper,056,1,14.8.07,A-REI.D,1,1,1,4
1,MS,Paper,051,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,171,1,14.8.07,A-REI.D,1,1,1,3
1,MS,Paper,012,1,14.8.07,A-REI.D,3,1,0,4
1,MS,Paper,007,1,14.8.07,A-REI.D,1,1,1,4
1,MS,Paper,431,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,169,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,156,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,210,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,305,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,313,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,222,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,214,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,360,1,14.8.07,A-REI.D,1,1,1,4
1,MS,Paper,245,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,436,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,296,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,054,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,414,1,14.8.07,A-REI.D,1,1,1,5
1,MS,Paper,240,1,14.8.07,A-REI.D,1,1,1,4
1,MS,Paper,270,1,14.8.06,A-APR.A,2,2,1,3
1,MS,Paper,371,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,340,1,14.8.06,A-APR.A,1,2,0,4
1,MS,Paper,328,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,301,1,14.8.06,A-APR.A,3,2,0,0
1,MS,Paper,131,1,14.8.06,A-APR.A,2,2,1,3
1,MS,Paper,023,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,129,1,14.8.06,A-APR.A,1,2,0,3
1,MS,Paper,374,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,243,1,14.8.06,A-APR.A,2,2,1,3
1,MS,Paper,310,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,062,1,14.8.06,A-APR.A,1,2,0,3
1,MS,Paper,028,1,14.8.06,A-APR.A,4,2,0,5
1,MS,Paper,417,1,14.8.06,A-APR.A,1,2,0,4
1,MS,Paper,390,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,434,1,14.8.06,A-APR.A,1,2,0,4
1,MS,Paper,187,1,14.8.06,A-APR.A,1,2,0,5
1,MS,Paper,372,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,045,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,056,1,14.8.06,A-APR.A,2,2,1,3
1,MS,Paper,051,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,171,1,14.8.06,A-APR.A,1,2,0,3
1,MS,Paper,012,1,14.8.06,A-APR.A,4,2,0,4
1,MS,Paper,007,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,431,1,14.8.06,A-APR.A,3,2,0,5
1,MS,Paper,169,1,14.8.06,A-APR.A,1,2,0,5
1,MS,Paper,156,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,210,1,14.8.06,A-APR.A,1,2,0,5
1,MS,Paper,305,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,313,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,222,1,14.8.06,A-APR.A,1,2,0,3
1,MS,Paper,214,1,14.8.06,A-APR.A,3,2,0,2
1,MS,Paper,360,1,14.8.06,A-APR.A,2,2,1,0
1,MS,Paper,245,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,436,1,14.8.06,A-APR.A,3,2,0,1
1,MS,Paper,296,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,054,1,14.8.06,A-APR.A,3,2,0,5
1,MS,Paper,414,1,14.8.06,A-APR.A,2,2,1,5
1,MS,Paper,240,1,14.8.06,A-APR.A,2,2,1,4
1,MS,Paper,270,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,371,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,201,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,340,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,328,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,301,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,131,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,023,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,129,1,14.8.15,A-SSE.A,4,1,0,4
1,MS,Paper,374,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,243,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,310,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,062,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,028,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,417,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,390,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,434,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,187,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,372,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,045,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,056,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,051,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,171,1,14.8.15,A-SSE.A,1,1,1,3
1,MS,Paper,012,1,14.8.15,A-SSE.A,4,1,0,4
1,MS,Paper,007,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,431,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,169,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,156,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,210,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,305,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,313,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,222,1,14.8.15,A-SSE.A,4,1,0,3
1,MS,Paper,214,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,360,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,245,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,436,1,14.8.15,A-SSE.A,2,1,0,4
1,MS,Paper,296,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,054,1,14.8.15,A-SSE.A,2,1,0,3
1,MS,Paper,414,1,14.8.15,A-SSE.A,1,1,1,5
1,MS,Paper,240,1,14.8.15,A-SSE.A,1,1,1,4
1,MS,Paper,270,1,15.6.17,A-SSE.A,3,2,0,0
1,MS,Paper,371,1,15.6.17,A-SSE.A,3,2,0,1
1,MS,Paper,201,1,15.6.17,A-SSE.A,2,2,1,5
1,MS,Paper,340,1,15.6.17,A-SSE.A,2,2,1,3
1,MS,Paper,328,1,15.6.17,A-SSE.A,2,2,1,5
1,MS,Paper,301,1,15.6.17,A-SSE.A,4,2,0,0
1,MS,Paper,131,1,15.6.17,A-SSE.A,3,2,0,4
1,MS,Paper,023,1,15.6.17,A-SSE.A,2,2,1,3
1,MS,Paper,129,1,15.6.17,A-SSE.A,2,2,1,3
1,MS,Paper,374,1,15.6.17,A-SSE.A,3,2,0,1
1,MS,Paper,243,1,15.6.17,A-SSE.A,2,2,1,1
1,MS,Paper,310,1,15.6.17,A-SSE.A,2,2,1,2
1,MS,Paper,062,1,15.6.17,A-SSE.A,2,2,1,0
1,MS,Paper,028,1,15.6.17,A-SSE.A,2,2,1,0
1,MS,Paper,417,1,15.6.17,A-SSE.A,4,2,0,3
1,MS,Paper,390,1,15.6.17,A-SSE.A,3,2,0,1
1,MS,Paper,434,1,15.6.17,A-SSE.A,3,2,0,1
